#iter	avgavgE	devavgE	maxAvgE	minAvgE	# gossipLearning.controls.observers.errorComputation.VotedErrorComputator[NumOfVotes]	[HolderIndex]
10	0.48444444444444423	0.09878271453730252	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
10	0.4955555555555554	0.09990118574661824	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
10	0.5111111111111112	0.0993807989999897	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
11	0.4866666666666664	0.0991071249821244	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
11	0.492222222222222	0.10773194901934302	0.6	0.1	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
11	0.5022222222222221	0.09997530559290677	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
12	0.4777777777777775	0.09749960430435801	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
12	0.4777777777777777	0.13480667456091638	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
12	0.5066666666666666	0.09977753031397146	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
13	0.4799999999999997	0.09797958971132839	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
13	0.47111111111111104	0.14317389926972995	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
13	0.5111111111111111	0.09938079899999026	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
14	0.48444444444444423	0.09878271453730252	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
14	0.48333333333333317	0.12931443160847236	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
14	0.5111111111111112	0.0993807989999897	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
15	0.4777777777777775	0.09749960430435788	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
15	0.4844444444444443	0.12553097104443225	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
15	0.508888888888889	0.0996041548045101	0.6	0.4	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
16	0.4677777777777774	0.10309410779345624	0.6	0.1	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
16	0.47777777777777763	0.1348066745609168	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
